ph,moisture,label,icon,reason
4.45,93.9,Pakis Sayur,🌿,Lembap hutan
5.63,35.0,Terong Lalap,🍆,Tumbuh baik di kebun
6.89,47.9,Bayam,🥬,Perlu air cukup
6.79,81.5,Kangkung Air,🌿,Butuh genangan air
5.05,49.6,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.25,81.5,Kangkung Air,🌿,Butuh genangan air
5.68,50.6,Talas,🍃,Kuat di tanah asam lembap
4.82,76.4,Genjer,🌿,Suka pH rendah & basah
5.27,41.6,Ubi Cilembu,🍠,"Toleran asam, air sedang"
7.16,51.0,Kembang Kol,🥦,Anti akar gada
6.2,28.8,Cabai Rawit,🌶️,Anti becek
6.52,48.8,Sawi,🥬,Panen cepat
6.34,19.2,Cabai Keriting,🌶️,Drainase baik
6.65,34.4,Kemangi,🌿,Suka panas
7.74,30.4,Bawang Merah,🧅,Suka pH netral-basa
7.71,27.3,Bawang Merah,🧅,Suka pH netral-basa
5.5,44.8,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.23,85.4,Kangkung Air,🌿,Butuh genangan air
6.72,33.6,Kemangi,🌿,Suka panas
6.18,19.2,Cabai Keriting,🌶️,Drainase baik
7.57,27.3,Bawang Daun,🌱,Tahan pH tinggi
7.31,33.4,Bawang Merah,🧅,Suka pH netral-basa
6.07,24.2,Cabai Keriting,🌶️,Drainase baik
5.42,53.0,Talas,🍃,Kuat di tanah asam lembap
6.87,27.2,Kemangi,🌿,Suka panas
7.17,53.0,Kembang Kol,🥦,Anti akar gada
8.03,28.8,Bawang Daun,🌱,Tahan pH tinggi
6.71,27.2,Kemangi,🌿,Suka panas
6.24,15.4,Cabai Keriting,🌶️,Drainase baik
5.93,58.0,Oyong,🥒,Subur air tinggi
5.51,47.0,Talas,🍃,Kuat di tanah asam lembap
5.44,51.1,Talas,🍃,Kuat di tanah asam lembap
6.87,53.7,Bayam,🥬,Perlu air cukup
5.27,82.4,Genjer,🌿,Suka pH rendah & basah
5.93,24.3,Cabai Keriting,🌶️,Drainase baik
7.78,55.7,Kubis (Kol),🥬,Toleran tanah basa
4.42,91.6,Pakis Sayur,🌿,Lembap hutan
5.0,45.6,Ubi Cilembu,🍠,"Toleran asam, air sedang"
4.74,86.4,Pakis Sayur,🌿,Lembap hutan
5.17,79.5,Genjer,🌿,Suka pH rendah & basah
6.28,21.8,Cabai Rawit,🌶️,Anti becek
6.99,51.4,Bayam,🥬,Perlu air cukup
7.06,48.0,Bayam,🥬,Perlu air cukup
5.93,64.0,Oyong,🥒,Subur air tinggi
5.21,19.2,Singkong,🥔,Sangat kuat kering & asam
5.64,54.5,Talas,🍃,Kuat di tanah asam lembap
6.38,73.7,Selada Air,🥗,Air mengalir
4.68,86.8,Pakis Sayur,🌿,Lembap hutan
6.55,54.8,Kacang Panjang,🥢,Tanah subur ideal
5.27,46.0,Talas,🍃,Kuat di tanah asam lembap
4.28,90.0,Pakis Sayur,🌿,Lembap hutan
4.33,85.7,Pakis Sayur,🌿,Lembap hutan
6.66,48.6,Bayam,🥬,Perlu air cukup
6.64,44.4,Sawi,🥬,Panen cepat
5.75,45.6,Talas,🍃,Kuat di tanah asam lembap
6.73,22.4,Cabai Rawit,🌶️,Anti becek
4.96,75.9,Genjer,🌿,Suka pH rendah & basah
6.41,26.0,Cabai Rawit,🌶️,Anti becek
6.7,34.6,Kemangi,🌿,Suka panas
7.44,53.1,Kembang Kol,🥦,Anti akar gada
8.07,27.7,Bawang Daun,🌱,Tahan pH tinggi
7.38,60.6,Kubis (Kol),🥬,Toleran tanah basa
5.02,75.5,Genjer,🌿,Suka pH rendah & basah
6.66,56.1,Kacang Panjang,🥢,Tanah subur ideal
6.94,51.3,Kembang Kol,🥦,Anti akar gada
6.74,34.0,Kemangi,🌿,Suka panas
6.73,87.6,Kangkung Air,🌿,Butuh genangan air
7.83,28.1,Bawang Daun,🌱,Tahan pH tinggi
7.85,23.4,Bawang Daun,🌱,Tahan pH tinggi
6.03,31.2,Terong Lalap,🍆,Tumbuh baik di kebun
7.71,63.9,Kubis (Kol),🥬,Toleran tanah basa
7.56,20.8,Bawang Daun,🌱,Tahan pH tinggi
6.92,45.2,Bayam,🥬,Perlu air cukup
4.35,92.2,Pakis Sayur,🌿,Lembap hutan
7.34,25.8,Bawang Merah,🧅,Suka pH netral-basa
7.94,25.0,Bawang Daun,🌱,Tahan pH tinggi
5.92,60.6,Oyong,🥒,Subur air tinggi
4.78,12.5,Singkong,🥔,Sangat kuat kering & asam
6.58,47.5,Sawi,🥬,Panen cepat
7.0,31.5,Kemangi,🌿,Suka panas
5.84,37.4,Terong Lalap,🍆,Tumbuh baik di kebun
6.42,59.8,Kacang Panjang,🥢,Tanah subur ideal
6.66,56.0,Kacang Panjang,🥢,Tanah subur ideal
4.97,81.3,Genjer,🌿,Suka pH rendah & basah
7.04,51.3,Bayam,🥬,Perlu air cukup
4.78,76.7,Genjer,🌿,Suka pH rendah & basah
5.03,80.1,Genjer,🌿,Suka pH rendah & basah
6.44,77.1,Selada Air,🥗,Air mengalir
6.71,53.0,Bayam,🥬,Perlu air cukup
5.24,19.9,Singkong,🥔,Sangat kuat kering & asam
7.13,46.7,Kembang Kol,🥦,Anti akar gada
6.61,83.6,Kangkung Air,🌿,Butuh genangan air
5.22,45.3,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.38,89.3,Kangkung Air,🌿,Butuh genangan air
4.75,91.6,Pakis Sayur,🌿,Lembap hutan
7.76,20.5,Bawang Daun,🌱,Tahan pH tinggi
6.21,81.4,Kangkung Air,🌿,Butuh genangan air
7.03,30.8,Kemangi,🌿,Suka panas
6.34,23.7,Cabai Keriting,🌶️,Drainase baik
4.77,17.6,Singkong,🥔,Sangat kuat kering & asam
4.87,10.7,Singkong,🥔,Sangat kuat kering & asam
5.96,22.2,Cabai Keriting,🌶️,Drainase baik
6.41,22.0,Cabai Keriting,🌶️,Drainase baik
6.63,81.4,Kangkung Air,🌿,Butuh genangan air
4.9,43.1,Ubi Cilembu,🍠,"Toleran asam, air sedang"
7.19,48.8,Kembang Kol,🥦,Anti akar gada
7.15,46.0,Kembang Kol,🥦,Anti akar gada
7.48,28.7,Bawang Merah,🧅,Suka pH netral-basa
7.69,21.1,Bawang Daun,🌱,Tahan pH tinggi
4.39,87.3,Pakis Sayur,🌿,Lembap hutan
6.19,74.3,Selada Air,🥗,Air mengalir
5.55,48.5,Talas,🍃,Kuat di tanah asam lembap
7.29,30.3,Bawang Merah,🧅,Suka pH netral-basa
4.76,76.7,Genjer,🌿,Suka pH rendah & basah
7.3,32.6,Bawang Merah,🧅,Suka pH netral-basa
6.76,48.3,Bayam,🥬,Perlu air cukup
5.94,77.2,Selada Air,🥗,Air mengalir
6.41,75.5,Selada Air,🥗,Air mengalir
6.76,45.7,Sawi,🥬,Panen cepat
7.24,30.9,Bawang Merah,🧅,Suka pH netral-basa
5.01,79.5,Genjer,🌿,Suka pH rendah & basah
7.76,28.6,Bawang Daun,🌱,Tahan pH tinggi
4.38,91.4,Pakis Sayur,🌿,Lembap hutan
7.06,29.5,Kemangi,🌿,Suka panas
4.64,85.3,Pakis Sayur,🌿,Lembap hutan
6.49,80.2,Kangkung Air,🌿,Butuh genangan air
8.01,24.0,Bawang Daun,🌱,Tahan pH tinggi
5.91,15.7,Cabai Keriting,🌶️,Drainase baik
6.29,57.0,Kacang Panjang,🥢,Tanah subur ideal
5.24,14.2,Singkong,🥔,Sangat kuat kering & asam
7.45,60.3,Kubis (Kol),🥬,Toleran tanah basa
4.84,83.0,Genjer,🌿,Suka pH rendah & basah
7.33,55.5,Kubis (Kol),🥬,Toleran tanah basa
5.09,42.7,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.4,85.3,Kangkung Air,🌿,Butuh genangan air
8.01,25.9,Bawang Daun,🌱,Tahan pH tinggi
6.34,86.1,Kangkung Air,🌿,Butuh genangan air
4.72,86.0,Pakis Sayur,🌿,Lembap hutan
6.1,16.3,Cabai Keriting,🌶️,Drainase baik
7.59,29.4,Bawang Merah,🧅,Suka pH netral-basa
7.58,33.7,Bawang Merah,🧅,Suka pH netral-basa
4.83,77.3,Genjer,🌿,Suka pH rendah & basah
7.62,62.9,Kubis (Kol),🥬,Toleran tanah basa
5.47,49.3,Ubi Cilembu,🍠,"Toleran asam, air sedang"
7.33,25.1,Bawang Merah,🧅,Suka pH netral-basa
6.06,35.2,Terong Lalap,🍆,Tumbuh baik di kebun
8.08,25.3,Bawang Daun,🌱,Tahan pH tinggi
5.62,46.7,Talas,🍃,Kuat di tanah asam lembap
6.06,57.4,Oyong,🥒,Subur air tinggi
6.15,74.3,Selada Air,🥗,Air mengalir
7.8,24.7,Bawang Daun,🌱,Tahan pH tinggi
7.9,26.5,Bawang Daun,🌱,Tahan pH tinggi
5.49,54.1,Talas,🍃,Kuat di tanah asam lembap
6.96,52.9,Bayam,🥬,Perlu air cukup
7.36,54.3,Kembang Kol,🥦,Anti akar gada
4.85,77.1,Genjer,🌿,Suka pH rendah & basah
6.06,62.7,Oyong,🥒,Subur air tinggi
4.93,17.6,Singkong,🥔,Sangat kuat kering & asam
5.02,47.1,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.39,49.0,Sawi,🥬,Panen cepat
6.5,31.6,Kemangi,🌿,Suka panas
6.32,83.9,Kangkung Air,🌿,Butuh genangan air
7.01,31.9,Kemangi,🌿,Suka panas
5.96,62.1,Oyong,🥒,Subur air tinggi
5.64,36.1,Terong Lalap,🍆,Tumbuh baik di kebun
6.28,45.7,Sawi,🥬,Panen cepat
6.29,85.3,Kangkung Air,🌿,Butuh genangan air
7.04,26.8,Kemangi,🌿,Suka panas
4.39,87.9,Pakis Sayur,🌿,Lembap hutan
5.98,74.5,Selada Air,🥗,Air mengalir
5.77,49.5,Talas,🍃,Kuat di tanah asam lembap
4.95,82.9,Genjer,🌿,Suka pH rendah & basah
7.06,47.2,Bayam,🥬,Perlu air cukup
7.47,65.0,Kubis (Kol),🥬,Toleran tanah basa
4.74,93.1,Pakis Sayur,🌿,Lembap hutan
5.58,53.2,Talas,🍃,Kuat di tanah asam lembap
4.88,77.2,Genjer,🌿,Suka pH rendah & basah
5.76,52.2,Talas,🍃,Kuat di tanah asam lembap
7.01,49.4,Bayam,🥬,Perlu air cukup
4.94,17.7,Singkong,🥔,Sangat kuat kering & asam
5.38,45.3,Ubi Cilembu,🍠,"Toleran asam, air sedang"
7.33,56.8,Kubis (Kol),🥬,Toleran tanah basa
7.38,50.9,Kembang Kol,🥦,Anti akar gada
6.01,23.5,Cabai Keriting,🌶️,Drainase baik
7.79,56.8,Kubis (Kol),🥬,Toleran tanah basa
5.53,31.4,Terong Lalap,🍆,Tumbuh baik di kebun
5.0,14.2,Singkong,🥔,Sangat kuat kering & asam
6.01,35.7,Terong Lalap,🍆,Tumbuh baik di kebun
6.08,62.1,Oyong,🥒,Subur air tinggi
5.35,45.8,Ubi Cilembu,🍠,"Toleran asam, air sedang"
7.68,62.0,Kubis (Kol),🥬,Toleran tanah basa
7.57,30.1,Bawang Merah,🧅,Suka pH netral-basa
7.37,57.3,Kubis (Kol),🥬,Toleran tanah basa
7.37,49.1,Kembang Kol,🥦,Anti akar gada
5.63,54.5,Talas,🍃,Kuat di tanah asam lembap
6.0,74.5,Selada Air,🥗,Air mengalir
6.57,50.8,Bayam,🥬,Perlu air cukup
6.06,76.1,Selada Air,🥗,Air mengalir
6.46,75.6,Selada Air,🥗,Air mengalir
4.76,80.6,Genjer,🌿,Suka pH rendah & basah
4.35,85.0,Pakis Sayur,🌿,Lembap hutan
6.22,80.0,Kangkung Air,🌿,Butuh genangan air
7.75,61.2,Kubis (Kol),🥬,Toleran tanah basa
4.85,14.3,Singkong,🥔,Sangat kuat kering & asam
5.26,42.8,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.67,20.4,Cabai Rawit,🌶️,Anti becek
6.24,51.7,Kacang Panjang,🥢,Tanah subur ideal
5.69,53.1,Talas,🍃,Kuat di tanah asam lembap
6.33,41.8,Sawi,🥬,Panen cepat
7.41,32.6,Bawang Merah,🧅,Suka pH netral-basa
7.71,22.9,Bawang Daun,🌱,Tahan pH tinggi
7.6,24.8,Bawang Daun,🌱,Tahan pH tinggi
6.16,77.4,Selada Air,🥗,Air mengalir
7.35,32.3,Bawang Merah,🧅,Suka pH netral-basa
5.97,55.8,Oyong,🥒,Subur air tinggi
7.52,58.1,Kubis (Kol),🥬,Toleran tanah basa
6.39,61.2,Oyong,🥒,Subur air tinggi
7.35,29.3,Bawang Merah,🧅,Suka pH netral-basa
6.35,20.3,Cabai Keriting,🌶️,Drainase baik
4.83,80.4,Genjer,🌿,Suka pH rendah & basah
6.02,77.0,Selada Air,🥗,Air mengalir
7.64,55.7,Kubis (Kol),🥬,Toleran tanah basa
6.66,54.9,Bayam,🥬,Perlu air cukup
7.59,57.4,Kubis (Kol),🥬,Toleran tanah basa
6.28,61.6,Oyong,🥒,Subur air tinggi
6.78,20.1,Cabai Rawit,🌶️,Anti becek
7.99,28.4,Bawang Daun,🌱,Tahan pH tinggi
4.93,77.7,Genjer,🌿,Suka pH rendah & basah
6.35,77.8,Selada Air,🥗,Air mengalir
5.21,48.8,Talas,🍃,Kuat di tanah asam lembap
7.43,49.2,Kembang Kol,🥦,Anti akar gada
6.95,45.5,Kembang Kol,🥦,Anti akar gada
5.92,79.5,Selada Air,🥗,Air mengalir
6.38,22.5,Cabai Rawit,🌶️,Anti becek
4.8,85.3,Pakis Sayur,🌿,Lembap hutan
7.7,20.8,Bawang Daun,🌱,Tahan pH tinggi
6.65,84.5,Kangkung Air,🌿,Butuh genangan air
5.2,48.6,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.38,23.9,Cabai Keriting,🌶️,Drainase baik
6.51,28.0,Kemangi,🌿,Suka panas
5.01,83.5,Genjer,🌿,Suka pH rendah & basah
6.02,75.8,Selada Air,🥗,Air mengalir
5.03,17.1,Singkong,🥔,Sangat kuat kering & asam
7.35,33.9,Bawang Merah,🧅,Suka pH netral-basa
6.45,86.5,Kangkung Air,🌿,Butuh genangan air
7.99,28.7,Bawang Daun,🌱,Tahan pH tinggi
6.15,62.8,Oyong,🥒,Subur air tinggi
6.03,18.8,Cabai Keriting,🌶️,Drainase baik
5.71,34.9,Terong Lalap,🍆,Tumbuh baik di kebun
6.44,50.4,Kacang Panjang,🥢,Tanah subur ideal
6.44,75.8,Selada Air,🥗,Air mengalir
6.94,53.6,Bayam,🥬,Perlu air cukup
6.76,27.8,Cabai Rawit,🌶️,Anti becek
6.28,73.2,Selada Air,🥗,Air mengalir
4.74,12.1,Singkong,🥔,Sangat kuat kering & asam
4.8,79.0,Genjer,🌿,Suka pH rendah & basah
6.61,41.6,Sawi,🥬,Panen cepat
7.07,45.1,Kembang Kol,🥦,Anti akar gada
4.71,78.5,Genjer,🌿,Suka pH rendah & basah
6.3,42.2,Sawi,🥬,Panen cepat
6.52,43.6,Sawi,🥬,Panen cepat
5.31,48.1,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.21,86.7,Kangkung Air,🌿,Butuh genangan air
5.08,43.8,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.4,61.6,Oyong,🥒,Subur air tinggi
6.43,55.7,Oyong,🥒,Subur air tinggi
5.03,41.6,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.68,22.3,Cabai Rawit,🌶️,Anti becek
6.74,28.7,Kemangi,🌿,Suka panas
5.26,45.1,Talas,🍃,Kuat di tanah asam lembap
6.36,55.0,Kacang Panjang,🥢,Tanah subur ideal
4.96,46.7,Ubi Cilembu,🍠,"Toleran asam, air sedang"
7.48,52.0,Kembang Kol,🥦,Anti akar gada
5.6,36.6,Terong Lalap,🍆,Tumbuh baik di kebun
6.92,48.6,Bayam,🥬,Perlu air cukup
6.26,63.1,Oyong,🥒,Subur air tinggi
5.37,46.5,Talas,🍃,Kuat di tanah asam lembap
6.4,80.3,Kangkung Air,🌿,Butuh genangan air
6.08,55.9,Oyong,🥒,Subur air tinggi
5.68,38.6,Terong Lalap,🍆,Tumbuh baik di kebun
4.54,86.5,Pakis Sayur,🌿,Lembap hutan
4.53,86.1,Pakis Sayur,🌿,Lembap hutan
6.75,84.5,Kangkung Air,🌿,Butuh genangan air
5.24,77.6,Genjer,🌿,Suka pH rendah & basah
5.61,33.0,Terong Lalap,🍆,Tumbuh baik di kebun
8.09,24.8,Bawang Daun,🌱,Tahan pH tinggi
6.21,79.4,Selada Air,🥗,Air mengalir
6.78,53.1,Bayam,🥬,Perlu air cukup
6.34,58.5,Kacang Panjang,🥢,Tanah subur ideal
7.6,58.5,Kubis (Kol),🥬,Toleran tanah basa
7.28,33.7,Bawang Merah,🧅,Suka pH netral-basa
5.27,13.6,Singkong,🥔,Sangat kuat kering & asam
6.47,45.3,Sawi,🥬,Panen cepat
6.54,57.2,Kacang Panjang,🥢,Tanah subur ideal
6.83,53.4,Bayam,🥬,Perlu air cukup
6.29,49.3,Sawi,🥬,Panen cepat
6.22,70.7,Selada Air,🥗,Air mengalir
6.52,84.4,Kangkung Air,🌿,Butuh genangan air
